epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.998,0.23104,0.78582,0.87983,0.7199,0.43444,0.45343,0.20707,1.69721,1.71344,2.21573,0.0033301,0.0033301,0.0033301
2,217.588,0.24482,0.36532,0.86852,0.84011,0.50553,0.56194,0.24519,1.80611,1.32163,2.4306,0.00663045,0.00663045,0.00663045
3,316.177,0.26425,0.31636,0.87889,0.70485,0.43286,0.50978,0.19511,2.16329,1.6381,3.06232,0.0098978,0.0098978,0.0098978
4,414.666,0.25418,0.28696,0.87661,0.64163,0.40363,0.43457,0.17427,2.31193,2.10604,3.55267,0.0098515,0.0098515,0.0098515
5,513.003,0.21552,0.2465,0.86401,0.70549,0.42575,0.46851,0.20575,2.3534,1.96929,3.73786,0.009802,0.009802,0.009802
6,611.31,0.19112,0.2245,0.85749,0.66312,0.33175,0.41486,0.18148,2.36253,2.33512,3.61799,0.0097525,0.0097525,0.0097525
7,710.514,0.17741,0.2165,0.85419,0.67261,0.34834,0.39386,0.17893,2.39817,2.37998,4.27258,0.009703,0.009703,0.009703
8,808.887,0.16779,0.20499,0.85006,0.74849,0.38073,0.43705,0.19541,2.26742,2.50018,3.88019,0.0096535,0.0096535,0.0096535
9,906.556,0.15531,0.19059,0.84883,0.73607,0.34123,0.43703,0.20531,2.3252,2.12404,3.61658,0.009604,0.009604,0.009604
10,1003.96,0.14931,0.18611,0.84955,0.69218,0.43049,0.47553,0.20027,2.4239,2.01359,3.68824,0.0095545,0.0095545,0.0095545
11,1102.48,0.14289,0.18227,0.84435,0.73325,0.4386,0.49423,0.21956,2.24287,1.99756,3.43048,0.009505,0.009505,0.009505
12,1200.55,0.13948,0.17773,0.84435,0.81277,0.43444,0.52223,0.23264,2.26041,1.95014,4.01016,0.0094555,0.0094555,0.0094555
13,1299.17,0.13329,0.17113,0.84428,0.76232,0.42563,0.50162,0.21084,2.23934,1.82767,3.33043,0.009406,0.009406,0.009406
14,1397.32,0.13179,0.17119,0.84391,0.67089,0.40679,0.4528,0.19987,2.38054,2.14037,3.91298,0.0093565,0.0093565,0.0093565
